ticket_id,customer_id,subject,description,severity,status,created_date
58,18,Discuss fire win realize knowledge whatever improve bag,Baby gun machine discover skill discover still. Understand each training purpose. Painting somebody game brother. Inside work office plan significant tonight. Administration building enjoy never us sea call. Street agency cold.,Medium,Resolved,2026-08-01
59,18,Car term truth toward,I news Republican budget. Option pattern yes and school great. Treat piece scientist job serious record safe.,Low,Open,2026-06-22
60,18,Trouble view base time order,Here just meet open war best father. Answer military modern meet up expect. Five condition century sport same writer. Issue everything they fire girl.,Medium,Resolved,2026-06-27
61,18,Budget event keep those eye,Send under project cell deal stuff senior agree. Whether music sometimes.,Medium,Resolved,2026-03-19
62,18,Major state hard example,Rule minute store far body relationship. Know it enjoy ten.,High,Open,2026-03-05
63,18,Rule bring government bad soldier,Church friend law save public available. Throughout although beyond relate miss couple. Produce there along play account carry heavy.,High,Open,2026-05-09
64,18,Pull enter charge sport safe executive,Week tax see about.,Medium,Resolved,2026-04-07
65,18,Make particularly report although read,Piece doctor give most west there. Themselves property make picture our.,Low,Open,2026-05-24
66,18,Loss benefit both thing sense expert,Easy interesting computer what produce girl. Relate similar low source major include. Ahead environmental Democrat surface important.,High,Open,2026-04-05
67,18,Sign energy fish hot kind human treatment environmental rock fund,Language determine then movie single. Way party form painting. Wear again here.,High,Open,2026-08-09
68,19,Treatment short need pressure million gun cup church,Teacher director soon treat former democratic. Vote already after wait bill. Social amount executive agency place read. Evening buy six. Capital scientist establish be available reveal. After sea must try believe open.,Low,Resolved,2026-02-15
69,19,Create paper fine food mention age,Dark enough prevent likely fact behavior whom. Everything expect reflect media him year road. Several research laugh official agent side. Have none poor forward special wish believe.,Medium,Resolved,2026-03-29
70,19,Debate walk order base idea,Rich note discussion should edge find full. Already ready out the. Real sense some nation fine. Focus remember method teach yeah.,Low,Resolved,2026-05-06
71,19,Tv international back camera,Mind building culture thank. Although interest color sort.,Medium,Open,2026-06-22
72,20,Cause them industry across brother yet,Follow threat nor coach face rate sort. Mind economy leg view until result.,High,Resolved,2026-05-05
73,20,Clearly resource listen fish conference,Year accept reduce current. Mrs former article light. At player third general. Until ever star.,Medium,Open,2026-02-23
74,20,Once figure person idea effort must,Or bill describe condition. Bill someone onto she form sign option. Whom say pattern training decide. Situation writer before.,Medium,Open,2026-06-04
75,20,Chair close themselves follow time appear memory keep,Few service drive hotel similar relationship. Find miss most third success western. Represent style night majority smile. Newspaper itself give agent.,Medium,Resolved,2026-03-05
76,20,Talk side generation interest pay then,Hear value yet cultural guess crime. Financial behind hard effect TV parent almost ever.,High,Open,2026-05-13
77,21,Huge yet region ever,Statement tell until young place make list. Space although ahead thus check save that.,High,Open,2026-05-21
78,21,Bar street budget kitchen report,Teach everyone system pretty. Four public tonight. Town only want might. Indicate property article cover seven challenge. Base kitchen every cup measure.,Medium,Open,2026-06-10
79,21,Play success wait find,Brother letter structure beat us because. Consumer beat fish phone. Short small design. Least theory wall film race wall. Section scene financial here expert. Cell firm difficult could third.,Low,Open,2026-03-20
80,21,Without else keep begin,Hair sign mission stop reach color wear one. Mrs decision reduce get. Debate record mean stop some. Message decision design end.,Medium,Resolved,2026-03-04
81,21,Military piece little level,Nor probably top follow bit grow. City little from.,High,Resolved,2026-05-13
82,21,Cost group clear national,Speak lead office itself human street.,High,Open,2026-08-09
83,21,Rich over lot husband always,Blue international especially officer or clearly coach. Though whole wall cup win. Candidate four whether wife. Society center get how leave.,Medium,Resolved,2026-03-27
84,21,Customer common film,Tax job right child new. Above city beyond near hour defense.,Medium,Resolved,2026-03-08
85,21,Protect story relationship several,Campaign several card significant today star. Others move get prove wife agree.,Medium,Resolved,2026-03-29
86,21,Concern dog gun may ability out huge back discover,Analysis few behavior himself conference. Expect hit start alone. Conference huge military blood south get.,High,Resolved,2026-06-15
87,21,Pretty identify,Five offer himself lawyer. President prove institution approach interesting score break.,Low,Open,2026-06-01
88,23,Maybe sit Republican such will born condition,Service that bag according way remain election. Spend road lawyer any example business majority.,High,Resolved,2026-02-11
89,23,Anyone out hard international push short age,Fall indicate land fear. Other ground already. Eat base behind risk plan issue.,Low,Resolved,2026-07-05
90,23,Generation leader pay try tough usually star,American force although participant rich speech big. Woman bad until see institution against wear. Return sea bad treatment whole. Number yet past much soldier. Hear list set. Ever read control maybe animal human.,Medium,Open,2026-04-17
91,23,Question evening imagine affect increase,Environment out wish fish determine. Remember determine particularly. Step onto play forget home upon actually future.,Low,Open,2026-05-01
92,23,State charge take material mother color hope,Produce number bad. No generation debate world hard factor firm.,Medium,Resolved,2026-05-02
93,23,Ahead person coach goal it yet age wind,Writer heart Mrs her we but how. Yeah number condition city since. Nearly goal design too everything side.,Low,Open,2026-07-07
94,23,Black those whether seven fish movie hot teacher,Experience under church them hundred about stop. Prevent raise better oil individual industry country.,Medium,Resolved,2026-04-11
95,23,Peace catch people your outside,Foot economic notice. Range weight age over smile hope memory. Sure claim hard themselves compare. Follow fall thus debate leave.,Low,Resolved,2026-07-28
96,27,Raise kitchen drop computer left political,The training each reveal attorney security. Term yet television audience indicate employee.,Low,Resolved,2026-07-30
97,27,Building since positive move agency lose rise fall,Guy respond memory. Investment buy certainly energy stay send. Reveal hand prevent center. Somebody decide best politics available.,Medium,Resolved,2026-07-12
98,27,Sell serious garden ready former late election every,Challenge eye determine he. Research fill respond nothing fight require. Child source campaign parent teacher.,High,Resolved,2026-04-14
99,28,Pm agreement deep field once else,Image peace color general choose system fire. Her unit possible that lot low.,Low,Open,2026-08-05
100,29,Add water garden finally difference everything,Ground least tree trade style. Together scientist hair allow phone weight medical. Network movement scientist their wife.,Low,Resolved,2026-04-18
101,29,Land mission each,Direction response concern without entire. Before couple store as total. Few debate during seven local better think.,Medium,Resolved,2026-03-12
102,31,Five plant cultural,Bar culture my Democrat maintain notice. Involve toward result kind politics open play sense. Edge imagine establish.,High,Open,2026-02-16
103,31,Computer medical method week federal test eat every night,Key with watch maintain five window like clear. Set pull behind television. Point Mrs consumer single several degree. Figure short line range until decision public.,Low,Open,2026-08-03
104,31,Choose short skill system particular church what,Small sister especially usually line task field certain. Risk stop firm final none several.,Medium,Open,2026-07-26
105,31,Several identify,Position cause lead ever stand dark. Far health focus so for. School something pay key ever avoid civil.,Medium,Open,2026-03-25
106,31,Walk or weight water,Economic would only arrive argue garden Mrs. Type book care seek foot simple. Station them operation off no just.,Medium,Resolved,2026-04-30
107,31,Of several end most fact against sign,Whatever guess significant section Democrat fly. Leave four question region effort.,Medium,Resolved,2026-04-07
108,31,Cell politics interview,Story art writer. Administration join allow mean sometimes so.,Medium,Open,2026-03-30
109,31,Executive free attack away begin next both citizen,Off life practice course. Short issue everybody later. Practice authority possible fund. Sit science way threat husband family perhaps. Affect different interview else development purpose. Mother president customer start understand throw.,High,Open,2026-06-08
110,31,Check significant deal consider ago own suddenly single music west,Up probably cut clear yard do. Sign agree there want but.,High,Resolved,2026-05-17
111,31,Agent test take decade any just cup,Sport behavior compare tree right business series build. Scientist group yet indeed decision before medical. Effort born lead account sound hundred tax. Growth finally assume watch present director.,Medium,Resolved,2026-07-30
112,31,Practice special then administration,Animal suggest concern act million cell.,Low,Resolved,2026-04-23
113,31,Several article sort term produce he,Information company million character. Half understand skill air. Fill personal training enter fly. Former threat alone.,Medium,Open,2026-03-28
114,32,Trial another help,College beyond give development information at why. Work task Mr care owner PM find. Tonight either follow music whatever protect benefit. See system cultural despite candidate walk difficult.,Medium,Resolved,2026-06-21
115,32,Sea response executive past,Economy role feeling report left. Mind officer third service capital instead product often.,Medium,Open,2026-05-13
116,32,Security son place,Add play structure down.,Medium,Open,2026-02-23
117,32,Follow occur low gas pick,Later Democrat perform national brother evidence. Under front throughout effort southern maintain nature. Property garden mind as. Interview agent myself behind window store. Nearly fast their film. Network vote whom will consumer star.,High,Open,2026-03-05
118,32,Crime style develop admit safe government,None most another mouth. Discover water most hear beyond close plant.,Low,Resolved,2026-08-08
119,32,Difficult us respond must western interest,Any wide husband hope miss. Throw life carry visit a edge. Property decade safe order at sense cell. State share southern week drug skill position.,High,Open,2026-04-03
120,32,Option eat go difficult we cell husband,Day central every force. Minute modern sign out. Produce federal by sea lawyer. They senior result themselves. High through both. International collection report tend maintain fact mission.,High,Resolved,2026-07-20
121,32,Young owner out guy thank,Instead point tend exactly right every. Policy forget project economy ground. Big south drug. Determine its entire young step maintain parent.,High,Resolved,2026-03-04
122,32,Heart million understand him own opportunity soldier west offer brother,Oil remember page spring responsibility always. System of mission vote spend physical. Protect agent note agency watch better.,High,Open,2026-07-31
123,32,Soon rock support effect stand,Wind eat land answer leader yard. Shoulder civil next tell possible. Send sit common matter become goal.,High,Open,2026-08-04
124,32,Science structure dinner stock big reveal police,Market control him enter religious go south time. Where follow born ok. Record night series Mrs huge receive cup. Republican trip production system. Respond mouth however TV.,High,Resolved,2026-03-03
125,32,Suddenly save theory,Now bank yourself kind American nature property event. Difference reason despite themselves key specific certainly. During again partner study increase. Your court control million hundred offer total.,Low,Open,2026-05-15
126,32,Section religious word sound enjoy have,Music baby really focus still reflect. Often benefit true world remain movement bit.,Medium,Open,2026-07-10
127,32,Direction give reduce with start difference,Student least just opportunity ask yet against. Next arm girl test challenge radio assume. Now water road require make. Worry Democrat laugh Mrs.,Medium,Open,2026-08-01
128,33,Form now then watch,Woman only television wife apply senior onto. Pass morning room run.,Low,Resolved,2026-03-10
129,33,Woman similar writer structure ahead,Forward behind idea red. Source high listen suggest consumer find.,Low,Open,2026-05-12
130,33,Religious these matter continue husband dinner,Later behind election these article news.,High,Resolved,2026-03-11
131,34,Believe ability world actually force,Son nothing hear. Western country per consider. Wish best raise choice hear. Through relationship they concern.,Low,Resolved,2026-07-26
132,34,Sport knowledge performance,Southern find fact give. Operation cold between cover. Young turn visit up. Story six want protect assume east center. Could identify group true TV specific travel.,Low,Resolved,2026-07-11
133,35,Better mind professional fly month,Miss series poor executive career shake fall. International itself bank agency bit night participant fill.,Low,Open,2026-05-19
134,36,Side recognize month among,Throughout security number community finish.,Low,Resolved,2026-03-27
135,36,Move another field could who,School model condition he recognize treat.,High,Open,2026-05-04
136,36,Lead control,Authority data deal policy administration two.,High,Resolved,2026-03-28
137,36,Too break fact toward process,Would step head study. Choose out perform. Think institution now tell phone. Wait president trial important act.,Medium,Open,2026-07-27
138,36,Help successful couple single effect action realize among,Production development point boy. At Mr cold science western resource reason. Movie expect now board budget. Wear never marriage camera yet.,Medium,Open,2026-06-16
139,36,Long born also hold base really attack job,Scene kind shoulder production mean window. Right analysis add check teacher. Two glass customer popular hospital.,Medium,Open,2026-03-10
140,36,Water measure different physical,Agent key successful own explain claim. Who arm range improve move peace college. Have century billion do high none. Shoulder build different pick nor available.,Medium,Open,2026-07-03
141,36,Visit population executive pattern,Raise partner generation write lawyer. Lawyer these difference expert. White home either civil. It feel amount.,Medium,Resolved,2026-03-29
142,36,Represent must dinner I style,Walk inside individual safe know. Less full program card morning early. Nothing way role six guy.,High,Open,2026-04-08
143,36,Nature shake impact popular degree center board,Toward what thank include current. Necessary church his military Congress kitchen. History project event second nor.,High,Open,2026-04-21
144,36,Political offer song character first early,First usually partner same then put skin. Again turn thank former. Finish top data character.,Medium,Open,2026-07-16
145,37,Film at perhaps firm toward land,Face big no too. Clear budget travel important.,High,Resolved,2026-04-13
146,37,Need light work ready tough wish,Best always they list local short.,Low,Resolved,2026-07-31
147,37,Read stand us once consider thus wife water note those,Attention career feel hour change year. Which fly represent we bar.,High,Resolved,2026-04-24
148,37,Worker manager perform opportunity yard half education message word,Five cold power red enjoy you front. Seek service leader bag necessary. The unit action off.,Medium,Resolved,2026-04-04
149,39,Herself toward here along public recent friend,Imagine garden wall rest need major. Bar last public south tree. Time age campaign seven drug computer assume. Soon single tell act add southern thank. Audience old whole wide piece former professor partner.,Medium,Resolved,2026-05-27
150,39,Region current,Begin week about social. Decision response hit personal cover.,Medium,Resolved,2026-05-19
151,39,Remain manager relationship,Rule option team kind medical. Compare culture century my. Record reflect away cost focus.,Medium,Resolved,2026-05-28
152,39,Class play or own media experience interview,Most pressure why edge senior. Article management total art. Bag share respond activity season because. Sign trial recently painting where notice road five.,High,Resolved,2026-04-27
153,39,Score lose matter shake finish,Onto amount good let left. Less tonight laugh center seek information. Them small high.,Low,Resolved,2026-02-13
154,39,Change hand its stage town,Watch describe administration line even cup market citizen. Everyone couple parent material itself surface maintain.,High,Resolved,2026-07-22
155,39,Government black well relationship,Center million management describe make. Place full financial peace particularly. Can example right southern ten hard wife as. Have early war read travel total plant. Skill never officer former create camera focus. Occur treat remain participant spend eat none three.,Medium,Resolved,2026-05-18
156,39,Memory believe seek perhaps ball make owner,Last since social everybody. Hair sing listen development. Force station lot.,Medium,Resolved,2026-04-05
157,40,Situation what machine,Third customer specific could type painting fast art. Model mean eat heavy red. Fear daughter fast.,Medium,Resolved,2026-05-30
158,40,Prepare several bad let travel,Personal new order serve blue event every. Law clear campaign what buy test need hard.,Low,Resolved,2026-05-29
159,40,Story heart agent its,Concern party set poor food series. Third argue response. Market until cause bill. Vote dog senior win. Ball gas attorney hundred artist indicate.,Medium,Resolved,2026-08-01
160,40,Reason nature become debate city several,Dream population newspaper appear successful. Long among serve wear west. May follow series prove.,Low,Resolved,2026-05-18
161,40,Member face age resource,Attack customer along director man glass ball. Meeting stock however charge account physical. Example news memory civil cut parent free force. Hotel practice later knowledge whose. Show daughter both hold blood value day.,Medium,Resolved,2026-02-15
162,41,Save fear ready Democrat order field less possible discover,Memory finally describe Congress free. Water home force worker own close man. Others some project visit back blue a. People tax water.,High,Open,2026-07-14
163,41,Field high nothing city,Democratic course institution theory away individual. Father alone build. Enjoy us thought song.,Low,Open,2026-05-15
164,41,Build PM weight society,Add beat doctor thank. Reason event against none as reality democratic huge. Air market store include win officer. Prevent where then.,Low,Resolved,2026-03-13
165,41,Rest dark environment provide white could,Yet analysis none. Next reflect social resource score expert. Our lead line clearly. Risk must fly police imagine oil. Level girl factor sport seem manager.,High,Open,2026-04-17
166,41,Imagine which beat education case under population late much,Gas truth work. Out music story city. Cause staff day really bank industry born.,Low,Open,2026-08-05
167,42,Name mind offer effort nearly walk science range,Bring rule someone nature house prevent hotel. Go impact seem blood policy law strong. Respond throw wide son manager.,Medium,Open,2026-07-02
168,42,Reason fill,Stay my benefit sport age. Fast debate still. Attack laugh budget war. Action our gas heart field people.,Medium,Resolved,2026-06-21
169,42,Play order quickly with matter goal,Technology himself much better read per go. Yes here while service beautiful edge begin. Right resource two lawyer see.,Medium,Open,2026-02-14
170,44,Page light follow,Describe improve act campaign television sit very. Attorney Congress ever north soon movie. Education brother might. Total fall clear face. Interview rather why baby lot eat.,Medium,Resolved,2026-07-29
171,44,Simply southern town significant analysis,Future raise suffer director know. Big cause science water. Age many some involve remain today happy.,Low,Resolved,2026-03-21
172,44,Blood list everything newspaper institution assume enjoy,Husband try trade then building class now. Land you health enjoy at. Old break always dark. Card reduce action art small. Modern entire most field.,Low,Resolved,2026-05-16
173,45,Floor during lose,Professional long degree common need. Must sound certainly camera member technology attention message.,High,Resolved,2026-03-21
174,46,Not east send style,Still image sell amount fly. Agree public us hospital paper term. Look we meeting image. Drop miss market avoid. All at be through certainly political hard hotel.,Medium,Open,2026-04-09
175,46,Practice would game student painting try talk,Maintain serious style operation nice radio out. Case front reality window mouth pattern as.,Low,Resolved,2026-03-07
176,47,Environmental even eye message fine,Not give fill stay military. Everything our prove could party skin. Couple rather Republican need daughter. Ok community right then police day so. Consumer positive market early machine establish.,High,Open,2026-07-18
177,47,Learn game effort author buy,Worker about country various until lawyer yard. Start memory inside enter word physical majority blue. Hit budget Congress guess soon approach. Everyone nature environmental six. Daughter through note act front person.,Medium,Resolved,2026-06-20
178,47,Exist drive determine page seem until,Charge network first detail south. Data pattern west before science without. Special buy east image drug. Close community detail blue draw final often outside.,Low,Open,2026-02-17
179,47,Land discussion suggest impact know character thousand,Age share day pull job themselves. Focus material past study paper health. Over recognize help small. Design government ever resource together.,Medium,Resolved,2026-03-15
180,47,Over like agency very during recently laugh son,Generation herself make right training become effort. Especially treatment employee citizen despite. Population out special suffer without hair set bed.,Low,Resolved,2026-07-30
181,49,Begin receive anyone bad use laugh,Teach everything trouble director. Coach at the per of. Explain like institution collection.,Low,Resolved,2026-03-31
182,49,Space crime,Significant especially situation move. Network hard condition move cost skin for.,Low,Resolved,2026-07-19
183,49,Short message again mean arm career,Choose car technology strong off evidence early.,Low,Resolved,2026-06-21
